"Step","avid-monkey-10 - global_step","avid-monkey-10 - global_step__MIN","avid-monkey-10 - global_step__MAX","rose-cosmos-9 - global_step","rose-cosmos-9 - global_step__MIN","rose-cosmos-9 - global_step__MAX","noble-bee-8 - global_step","noble-bee-8 - global_step__MIN","noble-bee-8 - global_step__MAX","ruby-bee-6 - global_step","ruby-bee-6 - global_step__MIN","ruby-bee-6 - global_step__MAX","eager-snow-5 - global_step","eager-snow-5 - global_step__MIN","eager-snow-5 - global_step__MAX","comfy-terrain-4 - global_step","comfy-terrain-4 - global_step__MIN","comfy-terrain-4 - global_step__MAX","jumping-dew-3 - global_step","jumping-dew-3 - global_step__MIN","jumping-dew-3 - global_step__MAX","solar-fire-2 - global_step","solar-fire-2 - global_step__MIN","solar-fire-2 - global_step__MAX"
"4723","565248","565248","565248","205500","205500","205500","482000","482000","482000","198651","198651","198651","","","","256000","256000","256000","193000","193000","193000","","",""
"4724","566000","566000","566000","","","","482000","482000","482000","198651","198651","198651","","","","","","","","","","","",""
"4725","566000","566000","566000","","","","482000","482000","482000","","","","","","","","","","","","","","",""
"4726","566000","566000","566000","206000","206000","206000","482000","482000","482000","198651","198651","198651","","","","","","","193000","193000","193000","","",""
"4727","566000","566000","566000","","","","482000","482000","482000","","","","155148","155148","155148","","","","","","","303114","303114","303114"
"4728","566000","566000","566000","206000","206000","206000","482000","482000","482000","","","","","","","","","","193000","193000","193000","303114","303114","303114"
"4729","566000","566000","566000","","","","482000","482000","482000","199000","199000","199000","","","","256062","256062","256062","193000","193000","193000","","",""
"4730","566000","566000","566000","","","","482000","482000","482000","","","","","","","","","","193000","193000","193000","303114","303114","303114"
"4731","566000","566000","566000","206000","206000","206000","482000","482000","482000","199000","199000","199000","155148","155148","155148","256062","256062","256062","","","","303114","303114","303114"
"4732","566000","566000","566000","","","","482000","482000","482000","199000","199000","199000","155392","155392","155392","256062","256062","256062","","","","303114","303114","303114"
"4733","566000","566000","566000","","","","482000","482000","482000","","","","155392","155392","155392","","","","","","","303114","303114","303114"
"4734","567000","567000","567000","","","","482000","482000","482000","","","","155392","155392","155392","256922","256922","256922","","","","","",""
"4735","567000","567000","567000","","","","482000","482000","482000","","","","","","","","","","","","","303869","303869","303869"
"4736","567000","567000","567000","206000","206000","206000","483000","483000","483000","199000","199000","199000","","","","","","","","","","","",""
"4737","567296","567296","567296","","","","483000","483000","483000","199311","199311","199311","155392","155392","155392","256922","256922","256922","","","","303869","303869","303869"
"4738","567296","567296","567296","","","","483000","483000","483000","","","","155392","155392","155392","","","","","","","","",""
"4739","567296","567296","567296","206500","206500","206500","483328","483328","483328","","","","","","","","","","","","","303869","303869","303869"
"4740","567296","567296","567296","","","","483328","483328","483328","199311","199311","199311","","","","","","","","","","303869","303869","303869"
"4741","568000","568000","568000","206500","206500","206500","483328","483328","483328","199311","199311","199311","","","","257000","257000","257000","193446","193446","193446","","",""
"4742","568000","568000","568000","","","","483328","483328","483328","","","","","","","","","","","","","","",""
"4743","568000","568000","568000","","","","484000","484000","484000","","","","","","","257000","257000","257000","193905","193905","193905","","",""
"4744","568000","568000","568000","","","","484000","484000","484000","","","","","","","257000","257000","257000","","","","","",""
"4745","568000","568000","568000","","","","484000","484000","484000","","","","","","","257000","257000","257000","193905","193905","193905","304000","304000","304000"
"4746","568000","568000","568000","","","","484000","484000","484000","199733","199733","199733","","","","257000","257000","257000","193905","193905","193905","","",""
"4747","568000","568000","568000","","","","484000","484000","484000","","","","","","","257332","257332","257332","193905","193905","193905","","",""
"4748","568000","568000","568000","207000","207000","207000","484000","484000","484000","","","","","","","257332","257332","257332","","","","304873","304873","304873"
"4749","568000","568000","568000","","","","484000","484000","484000","199733","199733","199733","","","","","","","","","","","",""
"4750","568000","568000","568000","207000","207000","207000","484000","484000","484000","199733","199733","199733","","","","257332","257332","257332","","","","304873","304873","304873"
"4751","569000","569000","569000","207000","207000","207000","484000","484000","484000","199733","199733","199733","155851","155851","155851","257332","257332","257332","","","","","",""
"4752","569000","569000","569000","","","","484000","484000","484000","","","","","","","257332","257332","257332","","","","304873","304873","304873"
"4753","569000","569000","569000","207000","207000","207000","484000","484000","484000","","","","","","","257332","257332","257332","","","","304873","304873","304873"
"4754","569344","569344","569344","207000","207000","207000","484000","484000","484000","199733","199733","199733","","","","257715","257715","257715","194000","194000","194000","305000","305000","305000"
"4755","569344","569344","569344","207000","207000","207000","484000","484000","484000","200000","200000","200000","","","","257715","257715","257715","","","","305000","305000","305000"
"4756","569344","569344","569344","","","","485000","485000","485000","","","","","","","257715","257715","257715","","","","","",""
"4757","569344","569344","569344","","","","485000","485000","485000","200000","200000","200000","","","","257715","257715","257715","","","","","",""
"4758","570000","570000","570000","","","","485000","485000","485000","200000","200000","200000","","","","","","","","","","","",""
"4759","570000","570000","570000","207000","207000","207000","485376","485376","485376","","","","","","","257715","257715","257715","","","","305000","305000","305000"
"4760","570000","570000","570000","","","","485376","485376","485376","200000","200000","200000","","","","","","","","","","","",""
"4761","570000","570000","570000","207500","207500","207500","485376","485376","485376","","","","","","","258000","258000","258000","","","","305634","305634","305634"
"4762","570000","570000","570000","207500","207500","207500","485376","485376","485376","200000","200000","200000","156000","156000","156000","258000","258000","258000","","","","305634","305634","305634"
"4763","570000","570000","570000","","","","486000","486000","486000","200503","200503","200503","","","","258000","258000","258000","","","","","",""
"4764","570000","570000","570000","","","","486000","486000","486000","200503","200503","200503","156000","156000","156000","258000","258000","258000","194231","194231","194231","","",""
"4765","570000","570000","570000","","","","486000","486000","486000","","","","","","","258000","258000","258000","","","","","",""
"4766","570000","570000","570000","","","","486000","486000","486000","200503","200503","200503","","","","258000","258000","258000","","","","305634","305634","305634"
"4767","570000","570000","570000","207500","207500","207500","486000","486000","486000","200503","200503","200503","","","","258207","258207","258207","","","","","",""
"4768","571000","571000","571000","","","","486000","486000","486000","200503","200503","200503","156128","156128","156128","258207","258207","258207","","","","","",""
"4769","571000","571000","571000","207500","207500","207500","486000","486000","486000","","","","","","","258207","258207","258207","195000","195000","195000","306000","306000","306000"
"4770","571000","571000","571000","","","","486000","486000","486000","","","","","","","","","","","","","","",""
"4771","571392","571392","571392","","","","486000","486000","486000","200503","200503","200503","156128","156128","156128","258207","258207","258207","195000","195000","195000","306000","306000","306000"
"4772","571392","571392","571392","","","","486000","486000","486000","200830","200830","200830","156128","156128","156128","258207","258207","258207","","","","","",""
"4773","571392","571392","571392","","","","486000","486000","486000","","","","","","","258207","258207","258207","195000","195000","195000","","",""
"4774","571392","571392","571392","208000","208000","208000","486000","486000","486000","","","","","","","258626","258626","258626","","","","306526","306526","306526"
"4775","572000","572000","572000","","","","486000","486000","486000","","","","","","","","","","","","","306526","306526","306526"
"4776","572000","572000","572000","","","","487000","487000","487000","200830","200830","200830","156414","156414","156414","","","","","","","306526","306526","306526"
"4777","572000","572000","572000","","","","487000","487000","487000","","","","","","","258626","258626","258626","","","","306526","306526","306526"
"4778","572000","572000","572000","","","","487000","487000","487000","","","","","","","","","","","","","306526","306526","306526"
"4779","572000","572000","572000","208000","208000","208000","487424","487424","487424","200830","200830","200830","","","","258626","258626","258626","","","","","",""
"4780","572000","572000","572000","","","","487424","487424","487424","","","","","","","","","","195002","195002","195002","","",""
"4781","572000","572000","572000","","","","487424","487424","487424","","","","156414","156414","156414","","","","","","","307000","307000","307000"
"4782","572000","572000","572000","","","","487424","487424","487424","201000","201000","201000","","","","259000","259000","259000","","","","","",""
"4783","572000","572000","572000","","","","488000","488000","488000","","","","","","","259000","259000","259000","195002","195002","195002","","",""
"4784","572000","572000","572000","","","","488000","488000","488000","","","","156414","156414","156414","","","","","","","307000","307000","307000"
"4785","573000","573000","573000","","","","488000","488000","488000","","","","","","","259000","259000","259000","","","","","",""
"4786","573000","573000","573000","","","","488000","488000","488000","","","","","","","259000","259000","259000","195567","195567","195567","307158","307158","307158"
"4787","573000","573000","573000","208500","208500","208500","488000","488000","488000","201000","201000","201000","","","","","","","","","","307158","307158","307158"
"4788","573440","573440","573440","208500","208500","208500","488000","488000","488000","","","","156677","156677","156677","259049","259049","259049","","","","307158","307158","307158"
"4789","573440","573440","573440","208500","208500","208500","488000","488000","488000","","","","","","","","","","195567","195567","195567","307158","307158","307158"
"4790","573440","573440","573440","208500","208500","208500","488000","488000","488000","","","","","","","","","","195567","195567","195567","307158","307158","307158"
"4791","573440","573440","573440","","","","488000","488000","488000","201252","201252","201252","","","","","","","","","","307158","307158","307158"
"4792","574000","574000","574000","208500","208500","208500","488000","488000","488000","","","","156677","156677","156677","","","","195567","195567","195567","307158","307158","307158"
"4793","574000","574000","574000","208500","208500","208500","488000","488000","488000","","","","","","","259049","259049","259049","195567","195567","195567","","",""
"4794","574000","574000","574000","209000","209000","209000","488000","488000","488000","","","","","","","259548","259548","259548","","","","308000","308000","308000"
"4795","574000","574000","574000","","","","488000","488000","488000","","","","","","","259548","259548","259548","","","","","",""
"4796","574000","574000","574000","","","","489000","489000","489000","201252","201252","201252","","","","","","","","","","308000","308000","308000"
"4797","574000","574000","574000","","","","489000","489000","489000","","","","","","","259548","259548","259548","","","","","",""
"4798","574000","574000","574000","","","","489000","489000","489000","201970","201970","201970","","","","259548","259548","259548","","","","308000","308000","308000"
"4799","574000","574000","574000","209000","209000","209000","489472","489472","489472","","","","156917","156917","156917","","","","","","","308127","308127","308127"
"4800","574000","574000","574000","","","","489472","489472","489472","201970","201970","201970","","","","259548","259548","259548","","","","","",""
"4801","574000","574000","574000","","","","489472","489472","489472","201970","201970","201970","","","","260000","260000","260000","","","","308127","308127","308127"
"4802","575000","575000","575000","","","","489472","489472","489472","201970","201970","201970","","","","","","","196000","196000","196000","","",""
"4803","575000","575000","575000","","","","490000","490000","490000","","","","157000","157000","157000","","","","196134","196134","196134","308127","308127","308127"
"4804","575000","575000","575000","","","","490000","490000","490000","201970","201970","201970","","","","","","","","","","","",""
"4805","575488","575488","575488","209000","209000","209000","490000","490000","490000","","","","","","","260000","260000","260000","","","","","",""
"4806","575488","575488","575488","209000","209000","209000","490000","490000","490000","","","","","","","260000","260000","260000","","","","309000","309000","309000"
"4807","575488","575488","575488","","","","490000","490000","490000","202000","202000","202000","","","","260144","260144","260144","","","","309000","309000","309000"
"4808","575488","575488","575488","","","","490000","490000","490000","","","","157000","157000","157000","","","","196134","196134","196134","","",""
"4809","576000","576000","576000","","","","490000","490000","490000","","","","","","","","","","","","","","",""
"4810","576000","576000","576000","","","","490000","490000","490000","","","","","","","","","","","","","309000","309000","309000"
"4811","576000","576000","576000","209500","209500","209500","490000","490000","490000","","","","","","","260144","260144","260144","","","","309000","309000","309000"
"4812","576000","576000","576000","209500","209500","209500","490000","490000","490000","","","","","","","","","","","","","","",""
"4813","576000","576000","576000","209500","209500","209500","490000","490000","490000","","","","","","","260144","260144","260144","","","","309131","309131","309131"
"4814","576000","576000","576000","","","","490000","490000","490000","","","","","","","","","","","","","309131","309131","309131"
"4815","576000","576000","576000","","","","490000","490000","490000","202560","202560","202560","","","","260921","260921","260921","","","","309131","309131","309131"
"4816","576000","576000","576000","","","","491000","491000","491000","","","","","","","260921","260921","260921","","","","309131","309131","309131"
"4817","576000","576000","576000","210000","210000","210000","491000","491000","491000","202560","202560","202560","157215","157215","157215","","","","","","","","",""
"4818","576000","576000","576000","","","","491000","491000","491000","","","","","","","","","","","","","","",""
"4819","577000","577000","577000","","","","491520","491520","491520","202560","202560","202560","","","","","","","","","","309861","309861","309861"
"4820","577000","577000","577000","210000","210000","210000","491520","491520","491520","202560","202560","202560","157666","157666","157666","260921","260921","260921","196791","196791","196791","","",""
"4821","577000","577000","577000","210000","210000","210000","491520","491520","491520","202560","202560","202560","","","","","","","","","","","",""
"4822","577536","577536","577536","","","","491520","491520","491520","","","","157666","157666","157666","261000","261000","261000","","","","","",""
"4823","577536","577536","577536","","","","492000","492000","492000","202560","202560","202560","","","","","","","197000","197000","197000","309861","309861","309861"
"4824","577536","577536","577536","210000","210000","210000","492000","492000","492000","","","","","","","261000","261000","261000","197000","197000","197000","","",""
"4825","577536","577536","577536","210000","210000","210000","492000","492000","492000","202807","202807","202807","157666","157666","157666","261000","261000","261000","","","","309861","309861","309861"
"4826","578000","578000","578000","210000","210000","210000","492000","492000","492000","202807","202807","202807","","","","","","","197000","197000","197000","310000","310000","310000"
"4827","578000","578000","578000","210000","210000","210000","492000","492000","492000","","","","","","","","","","197000","197000","197000","","",""
"4828","578000","578000","578000","","","","492000","492000","492000","","","","157666","157666","157666","261396","261396","261396","","","","310000","310000","310000"
"4829","578000","578000","578000","210000","210000","210000","492000","492000","492000","","","","","","","261396","261396","261396","197303","197303","197303","310000","310000","310000"
"4830","578000","578000","578000","","","","492000","492000","492000","202807","202807","202807","","","","261396","261396","261396","197303","197303","197303","","",""
"4831","578000","578000","578000","","","","492000","492000","492000","202807","202807","202807","","","","","","","","","","","",""
"4832","578000","578000","578000","","","","492000","492000","492000","","","","","","","","","","","","","310566","310566","310566"
"4833","578000","578000","578000","210500","210500","210500","492000","492000","492000","","","","","","","","","","","","","","",""
"4834","578000","578000","578000","","","","492000","492000","492000","203000","203000","203000","157996","157996","157996","262000","262000","262000","197303","197303","197303","310566","310566","310566"
"4835","578000","578000","578000","","","","492000","492000","492000","","","","157996","157996","157996","262000","262000","262000","197303","197303","197303","310566","310566","310566"
"4836","579000","579000","579000","","","","493000","493000","493000","","","","","","","","","","197303","197303","197303","","",""
"4837","579000","579000","579000","","","","493000","493000","493000","","","","","","","262000","262000","262000","","","","","",""
"4838","579000","579000","579000","","","","493000","493000","493000","","","","","","","262000","262000","262000","197933","197933","197933","","",""
"4839","579584","579584","579584","210500","210500","210500","493568","493568","493568","","","","158000","158000","158000","262000","262000","262000","197933","197933","197933","311000","311000","311000"
"4840","579584","579584","579584","211000","211000","211000","493568","493568","493568","","","","","","","262290","262290","262290","","","","","",""
"4841","579584","579584","579584","211000","211000","211000","493568","493568","493568","","","","","","","","","","","","","311000","311000","311000"
"4842","579584","579584","579584","211000","211000","211000","493568","493568","493568","","","","","","","262290","262290","262290","","","","","",""
"4843","580000","580000","580000","211000","211000","211000","494000","494000","494000","203540","203540","203540","","","","262290","262290","262290","","","","","",""
"4844","580000","580000","580000","","","","494000","494000","494000","","","","158000","158000","158000","262290","262290","262290","","","","","",""
"4845","580000","580000","580000","","","","494000","494000","494000","203540","203540","203540","","","","262290","262290","262290","","","","311437","311437","311437"
"4846","580000","580000","580000","211000","211000","211000","494000","494000","494000","","","","","","","","","","","","","311437","311437","311437"
"4847","580000","580000","580000","","","","494000","494000","494000","","","","158517","158517","158517","","","","","","","311437","311437","311437"
"4848","580000","580000","580000","211000","211000","211000","494000","494000","494000","","","","158517","158517","158517","","","","","","","311437","311437","311437"
"4849","580000","580000","580000","211000","211000","211000","494000","494000","494000","203540","203540","203540","","","","263000","263000","263000","","","","311437","311437","311437"
"4850","580000","580000","580000","","","","494000","494000","494000","","","","158517","158517","158517","263000","263000","263000","198000","198000","198000","311437","311437","311437"
"4851","580000","580000","580000","","","","494000","494000","494000","","","","","","","","","","","","","","",""
"4852","580000","580000","580000","211000","211000","211000","494000","494000","494000","","","","","","","263000","263000","263000","198000","198000","198000","312000","312000","312000"
"4853","581000","581000","581000","211500","211500","211500","494000","494000","494000","204000","204000","204000","","","","","","","","","","312000","312000","312000"
"4854","581000","581000","581000","","","","494000","494000","494000","","","","","","","263161","263161","263161","198000","198000","198000","","",""
"4855","581000","581000","581000","211500","211500","211500","494000","494000","494000","204000","204000","204000","","","","263161","263161","263161","","","","312000","312000","312000"
"4856","581632","581632","581632","","","","495000","495000","495000","204000","204000","204000","","","","","","","198602","198602","198602","312000","312000","312000"
"4857","581632","581632","581632","211500","211500","211500","495000","495000","495000","204000","204000","204000","","","","263161","263161","263161","","","","312000","312000","312000"
"4858","581632","581632","581632","","","","495000","495000","495000","204304","204304","204304","","","","263161","263161","263161","","","","312248","312248","312248"
"4859","581632","581632","581632","","","","495616","495616","495616","","","","","","","263161","263161","263161","","","","","",""
"4860","582000","582000","582000","","","","495616","495616","495616","204304","204304","204304","","","","263647","263647","263647","","","","312248","312248","312248"
"4861","582000","582000","582000","","","","495616","495616","495616","","","","","","","263647","263647","263647","198602","198602","198602","312248","312248","312248"
"4862","582000","582000","582000","","","","495616","495616","495616","","","","","","","","","","","","","","",""
"4863","582000","582000","582000","212000","212000","212000","496000","496000","496000","204304","204304","204304","158702","158702","158702","263647","263647","263647","198602","198602","198602","312248","312248","312248"
"4864","582000","582000","582000","","","","496000","496000","496000","","","","","","","","","","","","","312248","312248","312248"
"4865","582000","582000","582000","212000","212000","212000","496000","496000","496000","204304","204304","204304","159000","159000","159000","","","","199000","199000","199000","","",""
"4866","582000","582000","582000","","","","496000","496000","496000","","","","","","","263647","263647","263647","","","","","",""
"4867","582000","582000","582000","212000","212000","212000","496000","496000","496000","204647","204647","204647","","","","","","","","","","313000","313000","313000"
"4868","582000","582000","582000","212000","212000","212000","496000","496000","496000","204647","204647","204647","","","","264000","264000","264000","","","","313000","313000","313000"
"4869","582000","582000","582000","","","","496000","496000","496000","","","","","","","264000","264000","264000","199000","199000","199000","313000","313000","313000"
"4870","583000","583000","583000","212000","212000","212000","496000","496000","496000","","","","159000","159000","159000","264000","264000","264000","199000","199000","199000","313000","313000","313000"
"4871","583000","583000","583000","212000","212000","212000","496000","496000","496000","","","","159000","159000","159000","264000","264000","264000","","","","313038","313038","313038"
"4872","583000","583000","583000","","","","496000","496000","496000","204647","204647","204647","","","","","","","","","","313038","313038","313038"
"4873","583680","583680","583680","212000","212000","212000","496000","496000","496000","","","","159030","159030","159030","","","","199015","199015","199015","","",""
"4874","583680","583680","583680","","","","496000","496000","496000","204647","204647","204647","159030","159030","159030","264581","264581","264581","199015","199015","199015","313038","313038","313038"
"4875","583680","583680","583680","212000","212000","212000","496000","496000","496000","204647","204647","204647","159030","159030","159030","","","","199015","199015","199015","313038","313038","313038"
"4876","583680","583680","583680","212500","212500","212500","497000","497000","497000","205000","205000","205000","159030","159030","159030","","","","","","","","",""
"4877","584000","584000","584000","212500","212500","212500","497000","497000","497000","","","","","","","264581","264581","264581","","","","","",""
"4878","584000","584000","584000","","","","497000","497000","497000","205000","205000","205000","159030","159030","159030","","","","199015","199015","199015","313923","313923","313923"
"4879","584000","584000","584000","","","","497664","497664","497664","","","","","","","","","","199015","199015","199015","313923","313923","313923"
"4880","584000","584000","584000","212500","212500","212500","497664","497664","497664","","","","","","","265000","265000","265000","199015","199015","199015","313923","313923","313923"
"4881","584000","584000","584000","","","","497664","497664","497664","","","","","","","","","","","","","","",""
"4882","584000","584000","584000","","","","497664","497664","497664","205000","205000","205000","","","","","","","","","","","",""
"4883","584000","584000","584000","212500","212500","212500","498000","498000","498000","","","","","","","265000","265000","265000","","","","313923","313923","313923"
"4884","584000","584000","584000","212500","212500","212500","498000","498000","498000","205067","205067","205067","159487","159487","159487","","","","199431","199431","199431","","",""
"4885","584000","584000","584000","","","","498000","498000","498000","205067","205067","205067","","","","265000","265000","265000","","","","314000","314000","314000"
"4886","584000","584000","584000","","","","498000","498000","498000","205067","205067","205067","","","","","","","","","","314000","314000","314000"
"4887","585000","585000","585000","","","","498000","498000","498000","","","","","","","265380","265380","265380","199431","199431","199431","314000","314000","314000"
"4888","585000","585000","585000","","","","498000","498000","498000","205067","205067","205067","159487","159487","159487","","","","","","","","",""
"4889","585000","585000","585000","","","","498000","498000","498000","","","","159487","159487","159487","265380","265380","265380","","","","314000","314000","314000"
"4890","585728","585728","585728","","","","498000","498000","498000","","","","","","","","","","","","","314000","314000","314000"
"4891","585728","585728","585728","","","","498000","498000","498000","","","","159894","159894","159894","","","","","","","","",""
"4892","585728","585728","585728","","","","498000","498000","498000","205067","205067","205067","159894","159894","159894","265380","265380","265380","","","","314719","314719","314719"
"4893","585728","585728","585728","213000","213000","213000","498000","498000","498000","205991","205991","205991","","","","265827","265827","265827","","","","314719","314719","314719"
"4894","586000","586000","586000","213000","213000","213000","498000","498000","498000","","","","","","","265827","265827","265827","","","","314719","314719","314719"
"4895","586000","586000","586000","","","","498000","498000","498000","205991","205991","205991","","","","265827","265827","265827","","","","314719","314719","314719"
"4896","586000","586000","586000","","","","499000","499000","499000","","","","","","","","","","","","","314719","314719","314719"
"4897","586000","586000","586000","213000","213000","213000","499000","499000","499000","205991","205991","205991","","","","","","","","","","314719","314719","314719"
"4898","586000","586000","586000","213000","213000","213000","499000","499000","499000","","","","","","","265827","265827","265827","","","","315000","315000","315000"
"4899","586000","586000","586000","","","","499712","499712","499712","","","","","","","","","","","","","315000","315000","315000"
"4900","586000","586000","586000","","","","499712","499712","499712","205991","205991","205991","","","","266000","266000","266000","200000","200000","200000","","",""
"4901","586000","586000","586000","","","","499712","499712","499712","205991","205991","205991","160000","160000","160000","","","","","","","315000","315000","315000"
"4902","586000","586000","586000","213500","213500","213500","499712","499712","499712","","","","","","","266000","266000","266000","","","","315000","315000","315000"
"4903","586000","586000","586000","","","","500000","500000","500000","","","","","","","","","","","","","315000","315000","315000"
"4904","587000","587000","587000","213500","213500","213500","500000","500000","500000","206000","206000","206000","","","","266000","266000","266000","","","","315543","315543","315543"
"4905","587000","587000","587000","","","","500000","500000","500000","","","","","","","266000","266000","266000","","","","","",""
"4906","587000","587000","587000","","","","500000","500000","500000","206000","206000","206000","160000","160000","160000","","","","","","","315543","315543","315543"
"4907","587776","587776","587776","213500","213500","213500","500000","500000","500000","","","","","","","","","","","","","315543","315543","315543"
"4908","587776","587776","587776","","","","500000","500000","500000","","","","160091","160091","160091","266383","266383","266383","200389","200389","200389","315543","315543","315543"
"4909","587776","587776","587776","214000","214000","214000","500000","500000","500000","206000","206000","206000","","","","","","","","","","315543","315543","315543"
"4910","587776","587776","587776","","","","500000","500000","500000","","","","160091","160091","160091","","","","200389","200389","200389","","",""
"4911","588000","588000","588000","","","","500000","500000","500000","","","","","","","","","","","","","","",""
"4912","588000","588000","588000","214000","214000","214000","500000","500000","500000","206665","206665","206665","","","","","","","","","","316000","316000","316000"
"4913","588000","588000","588000","","","","500000","500000","500000","","","","","","","266967","266967","266967","","","","316000","316000","316000"
"4914","588000","588000","588000","214000","214000","214000","500000","500000","500000","","","","160091","160091","160091","266967","266967","266967","","","","","",""
"4915","588000","588000","588000","","","","500000","500000","500000","","","","","","","266967","266967","266967","200389","200389","200389","316000","316000","316000"
"4916","588000","588000","588000","","","","501000","501000","501000","","","","","","","266967","266967","266967","","","","","",""
"4917","588000","588000","588000","","","","501000","501000","501000","206665","206665","206665","","","","","","","","","","316518","316518","316518"
"4918","588000","588000","588000","","","","501000","501000","501000","206665","206665","206665","160529","160529","160529","","","","200753","200753","200753","","",""
"4919","588000","588000","588000","","","","501760","501760","501760","","","","160529","160529","160529","","","","200753","200753","200753","316518","316518","316518"
"4920","588000","588000","588000","","","","501760","501760","501760","","","","","","","267000","267000","267000","","","","316518","316518","316518"
"4921","589000","589000","589000","","","","501760","501760","501760","","","","","","","","","","","","","316518","316518","316518"
"4922","589000","589000","589000","214500","214500","214500","501760","501760","501760","207000","207000","207000","","","","267000","267000","267000","","","","316518","316518","316518"
"4923","589000","589000","589000","","","","502000","502000","502000","","","","160529","160529","160529","267000","267000","267000","","","","","",""
"4924","589824","589824","589824","","","","502000","502000","502000","","","","","","","","","","","","","","",""
"4925","589824","589824","589824","214500","214500","214500","502000","502000","502000","207000","207000","207000","","","","267000","267000","267000","","","","","",""
"4926","589824","589824","589824","214500","214500","214500","502000","502000","502000","207000","207000","207000","160779","160779","160779","267498","267498","267498","","","","","",""
"4927","589824","589824","589824","","","","502000","502000","502000","","","","","","","267498","267498","267498","201000","201000","201000","317000","317000","317000"
"4928","590000","590000","590000","","","","502000","502000","502000","","","","","","","267498","267498","267498","","","","317000","317000","317000"
"4929","590000","590000","590000","214500","214500","214500","502000","502000","502000","207222","207222","207222","","","","","","","","","","317000","317000","317000"
"4930","590000","590000","590000","214500","214500","214500","502000","502000","502000","","","","160779","160779","160779","","","","","","","317414","317414","317414"
"4931","590000","590000","590000","","","","502000","502000","502000","","","","","","","","","","","","","","",""
"4932","590000","590000","590000","215000","215000","215000","502000","502000","502000","","","","160779","160779","160779","","","","","","","","",""
"4933","590000","590000","590000","215000","215000","215000","502000","502000","502000","","","","","","","","","","201359","201359","201359","317414","317414","317414"
"4934","590000","590000","590000","215000","215000","215000","502000","502000","502000","207222","207222","207222","","","","267884","267884","267884","","","","","",""
"4935","590000","590000","590000","","","","502000","502000","502000","207222","207222","207222","","","","","","","201359","201359","201359","317414","317414","317414"
"4936","590000","590000","590000","","","","503000","503000","503000","","","","","","","","","","","","","317414","317414","317414"
"4937","590000","590000","590000","","","","503000","503000","503000","","","","","","","","","","","","","317852","317852","317852"
"4938","591000","591000","591000","215000","215000","215000","503000","503000","503000","","","","","","","","","","","","","317852","317852","317852"
"4939","591000","591000","591000","","","","503808","503808","503808","","","","161000","161000","161000","","","","201359","201359","201359","","",""
"4940","591000","591000","591000","215000","215000","215000","503808","503808","503808","","","","161000","161000","161000","","","","","","","317852","317852","317852"
"4941","591872","591872","591872","215000","215000","215000","503808","503808","503808","","","","","","","268000","268000","268000","","","","317852","317852","317852"
"4942","591872","591872","591872","","","","503808","503808","503808","207517","207517","207517","","","","268000","268000","268000","","","","317852","317852","317852"
"4943","591872","591872","591872","","","","504000","504000","504000","207517","207517","207517","161120","161120","161120","268000","268000","268000","","","","317852","317852","317852"
"4944","591872","591872","591872","","","","504000","504000","504000","","","","","","","","","","","","","318000","318000","318000"
"4945","592000","592000","592000","215500","215500","215500","504000","504000","504000","208000","208000","208000","","","","268000","268000","268000","","","","318000","318000","318000"
"4946","592000","592000","592000","215500","215500","215500","504000","504000","504000","","","","","","","","","","201991","201991","201991","318000","318000","318000"
"4947","592000","592000","592000","","","","504000","504000","504000","","","","","","","268140","268140","268140","","","","","",""
"4948","592000","592000","592000","215500","215500","215500","504000","504000","504000","","","","","","","268140","268140","268140","","","","","",""
"4949","592000","592000","592000","","","","504000","504000","504000","","","","","","","268140","268140","268140","","","","","",""
"4950","592000","592000","592000","","","","504000","504000","504000","","","","","","","268140","268140","268140","201991","201991","201991","","",""
"4951","592000","592000","592000","","","","504000","504000","504000","","","","","","","","","","","","","","",""
"4952","592000","592000","592000","","","","504000","504000","504000","208000","208000","208000","","","","","","","","","","318535","318535","318535"
"4953","592000","592000","592000","215500","215500","215500","504000","504000","504000","","","","","","","268522","268522","268522","202000","202000","202000","318535","318535","318535"
"4954","592000","592000","592000","","","","504000","504000","504000","","","","161515","161515","161515","","","","","","","318535","318535","318535"
"4955","593000","593000","593000","","","","504000","504000","504000","208369","208369","208369","","","","268522","268522","268522","","","","318535","318535","318535"
"4956","593000","593000","593000","","","","505000","505000","505000","","","","","","","","","","","","","","",""
"4957","593000","593000","593000","","","","505000","505000","505000","","","","161515","161515","161515","","","","","","","319000","319000","319000"
"4958","593920","593920","593920","","","","505000","505000","505000","","","","","","","","","","202000","202000","202000","319000","319000","319000"
"4959","593920","593920","593920","216000","216000","216000","505856","505856","505856","","","","161515","161515","161515","268522","268522","268522","","","","","",""
"4960","593920","593920","593920","216000","216000","216000","505856","505856","505856","","","","161776","161776","161776","269000","269000","269000","","","","","",""
"4961","593920","593920","593920","216000","216000","216000","505856","505856","505856","208369","208369","208369","","","","","","","","","","319000","319000","319000"
"4962","594000","594000","594000","","","","505856","505856","505856","","","","","","","","","","","","","","",""
"4963","594000","594000","594000","","","","506000","506000","506000","","","","","","","","","","","","","319149","319149","319149"
"4964","594000","594000","594000","","","","506000","506000","506000","209000","209000","209000","","","","269000","269000","269000","","","","319149","319149","319149"
