"Step","avid-monkey-10 - global_step","avid-monkey-10 - global_step__MIN","avid-monkey-10 - global_step__MAX","rose-cosmos-9 - global_step","rose-cosmos-9 - global_step__MIN","rose-cosmos-9 - global_step__MAX","noble-bee-8 - global_step","noble-bee-8 - global_step__MIN","noble-bee-8 - global_step__MAX","ruby-bee-6 - global_step","ruby-bee-6 - global_step__MIN","ruby-bee-6 - global_step__MAX","eager-snow-5 - global_step","eager-snow-5 - global_step__MIN","eager-snow-5 - global_step__MAX","comfy-terrain-4 - global_step","comfy-terrain-4 - global_step__MIN","comfy-terrain-4 - global_step__MAX","jumping-dew-3 - global_step","jumping-dew-3 - global_step__MIN","jumping-dew-3 - global_step__MAX","solar-fire-2 - global_step","solar-fire-2 - global_step__MIN","solar-fire-2 - global_step__MAX"
"54","8000","8000","8000","","","","7000","7000","7000","","","","","","","4000","4000","4000","","","","4000","4000","4000"
"55","8000","8000","8000","","","","7000","7000","7000","","","","","","","","","","","","","","",""
"56","8000","8000","8000","3000","3000","3000","7000","7000","7000","","","","3000","3000","3000","","","","3000","3000","3000","","",""
"57","8192","8192","8192","","","","7000","7000","7000","","","","","","","","","","","","","4000","4000","4000"
"58","8192","8192","8192","","","","7000","7000","7000","","","","","","","","","","","","","","",""
"59","8192","8192","8192","","","","7000","7000","7000","","","","","","","4490","4490","4490","","","","4304","4304","4304"
"60","8192","8192","8192","","","","7000","7000","7000","","","","","","","","","","3676","3676","3676","4304","4304","4304"
"61","9000","9000","9000","3000","3000","3000","7000","7000","7000","","","","","","","","","","","","","4304","4304","4304"
"62","9000","9000","9000","","","","7000","7000","7000","3454","3454","3454","","","","","","","","","","","",""
"63","9000","9000","9000","3000","3000","3000","8000","8000","8000","","","","","","","4490","4490","4490","","","","","",""
"64","9000","9000","9000","","","","8000","8000","8000","3454","3454","3454","","","","4490","4490","4490","","","","4304","4304","4304"
"65","9000","9000","9000","3000","3000","3000","8000","8000","8000","","","","","","","","","","","","","","",""
"66","9000","9000","9000","3000","3000","3000","8192","8192","8192","","","","","","","5000","5000","5000","","","","5000","5000","5000"
"67","9000","9000","9000","","","","8192","8192","8192","","","","","","","","","","","","","","",""
"68","9000","9000","9000","","","","8192","8192","8192","","","","","","","5000","5000","5000","3676","3676","3676","5000","5000","5000"
"69","9000","9000","9000","3500","3500","3500","8192","8192","8192","","","","","","","5000","5000","5000","4000","4000","4000","5000","5000","5000"
"70","9000","9000","9000","","","","9000","9000","9000","","","","3974","3974","3974","5000","5000","5000","4000","4000","4000","5000","5000","5000"
"71","10000","10000","10000","","","","9000","9000","9000","","","","","","","5000","5000","5000","4000","4000","4000","5000","5000","5000"
"72","10000","10000","10000","3500","3500","3500","9000","9000","9000","","","","","","","","","","4000","4000","4000","5273","5273","5273"
"73","10000","10000","10000","","","","9000","9000","9000","","","","","","","5179","5179","5179","","","","5273","5273","5273"
"74","10240","10240","10240","","","","9000","9000","9000","4000","4000","4000","","","","","","","","","","5273","5273","5273"
"75","10240","10240","10240","3500","3500","3500","9000","9000","9000","","","","","","","","","","","","","5273","5273","5273"
"76","10240","10240","10240","","","","9000","9000","9000","","","","3974","3974","3974","","","","","","","5273","5273","5273"
"77","10240","10240","10240","3500","3500","3500","9000","9000","9000","","","","","","","5179","5179","5179","","","","","",""
"78","11000","11000","11000","3500","3500","3500","9000","9000","9000","","","","","","","5179","5179","5179","","","","5273","5273","5273"
"79","11000","11000","11000","","","","9000","9000","9000","","","","4000","4000","4000","5814","5814","5814","","","","6000","6000","6000"
"80","11000","11000","11000","","","","9000","9000","9000","4102","4102","4102","","","","5814","5814","5814","","","","6000","6000","6000"
"81","11000","11000","11000","","","","9000","9000","9000","","","","","","","","","","","","","","",""
"82","11000","11000","11000","","","","9000","9000","9000","","","","4000","4000","4000","5814","5814","5814","4358","4358","4358","","",""
"83","11000","11000","11000","","","","10000","10000","10000","4102","4102","4102","4000","4000","4000","","","","","","","","",""
"84","11000","11000","11000","4000","4000","4000","10000","10000","10000","","","","","","","","","","","","","6000","6000","6000"
"85","11000","11000","11000","4000","4000","4000","10000","10000","10000","4102","4102","4102","","","","","","","","","","","",""
"86","11000","11000","11000","","","","10240","10240","10240","4924","4924","4924","","","","6000","6000","6000","","","","","",""
"87","11000","11000","11000","","","","10240","10240","10240","","","","","","","6000","6000","6000","","","","6109","6109","6109"
"88","12000","12000","12000","4000","4000","4000","10240","10240","10240","","","","4702","4702","4702","6000","6000","6000","","","","6109","6109","6109"
"89","12000","12000","12000","","","","10240","10240","10240","","","","","","","","","","","","","","",""
"90","12000","12000","12000","4000","4000","4000","11000","11000","11000","","","","4702","4702","4702","6000","6000","6000","","","","6109","6109","6109"
"91","12288","12288","12288","4000","4000","4000","11000","11000","11000","","","","","","","","","","5000","5000","5000","6109","6109","6109"
"92","12288","12288","12288","4500","4500","4500","11000","11000","11000","","","","","","","6405","6405","6405","","","","6617","6617","6617"
"93","12288","12288","12288","","","","11000","11000","11000","","","","","","","","","","","","","","",""
"94","12288","12288","12288","4500","4500","4500","11000","11000","11000","","","","","","","6405","6405","6405","5163","5163","5163","6617","6617","6617"
"95","13000","13000","13000","4500","4500","4500","11000","11000","11000","5000","5000","5000","5000","5000","5000","","","","","","","","",""
"96","13000","13000","13000","","","","11000","11000","11000","","","","5000","5000","5000","6405","6405","6405","5163","5163","5163","6617","6617","6617"
"97","13000","13000","13000","","","","11000","11000","11000","5000","5000","5000","","","","6405","6405","6405","5163","5163","5163","","",""
"98","13000","13000","13000","4500","4500","4500","11000","11000","11000","5000","5000","5000","5000","5000","5000","","","","","","","6617","6617","6617"
"99","13000","13000","13000","","","","11000","11000","11000","","","","","","","7000","7000","7000","","","","","",""
"100","13000","13000","13000","4500","4500","4500","11000","11000","11000","","","","","","","","","","","","","","",""
"101","13000","13000","13000","4500","4500","4500","11000","11000","11000","5000","5000","5000","","","","","","","5163","5163","5163","7000","7000","7000"
"102","13000","13000","13000","","","","11000","11000","11000","5000","5000","5000","5000","5000","5000","","","","","","","","",""
"103","13000","13000","13000","5000","5000","5000","12000","12000","12000","5799","5799","5799","","","","","","","","","","7000","7000","7000"
"104","13000","13000","13000","","","","12000","12000","12000","5799","5799","5799","","","","7000","7000","7000","","","","","",""
"105","14000","14000","14000","5000","5000","5000","12000","12000","12000","5799","5799","5799","5483","5483","5483","","","","","","","","",""
"106","14000","14000","14000","","","","12288","12288","12288","5799","5799","5799","","","","7025","7025","7025","","","","7621","7621","7621"
"107","14000","14000","14000","","","","12288","12288","12288","","","","","","","7025","7025","7025","","","","","",""
"108","14336","14336","14336","5000","5000","5000","12288","12288","12288","","","","","","","","","","","","","","",""
"109","14336","14336","14336","5000","5000","5000","12288","12288","12288","","","","","","","","","","","","","","",""
"110","14336","14336","14336","5000","5000","5000","13000","13000","13000","","","","","","","7025","7025","7025","","","","7621","7621","7621"
"111","14336","14336","14336","","","","13000","13000","13000","","","","","","","7025","7025","7025","5870","5870","5870","7621","7621","7621"
"112","15000","15000","15000","5000","5000","5000","13000","13000","13000","","","","6000","6000","6000","","","","6000","6000","6000","8000","8000","8000"
"113","15000","15000","15000","","","","13000","13000","13000","","","","6000","6000","6000","","","","","","","8000","8000","8000"
"114","15000","15000","15000","","","","13000","13000","13000","","","","","","","","","","6000","6000","6000","","",""
"115","15000","15000","15000","5500","5500","5500","13000","13000","13000","","","","","","","8000","8000","8000","6000","6000","6000","8000","8000","8000"
"116","15000","15000","15000","5500","5500","5500","13000","13000","13000","6000","6000","6000","6000","6000","6000","","","","6000","6000","6000","8000","8000","8000"
"117","15000","15000","15000","","","","13000","13000","13000","","","","","","","","","","","","","","",""
"118","15000","15000","15000","5500","5500","5500","13000","13000","13000","","","","","","","8029","8029","8029","","","","8200","8200","8200"
"119","15000","15000","15000","","","","13000","13000","13000","6000","6000","6000","","","","8029","8029","8029","","","","8200","8200","8200"
"120","15000","15000","15000","","","","13000","13000","13000","","","","","","","","","","","","","8200","8200","8200"
"121","15000","15000","15000","5500","5500","5500","13000","13000","13000","","","","","","","8029","8029","8029","","","","","",""
"122","16000","16000","16000","","","","13000","13000","13000","","","","","","","8029","8029","8029","","","","8200","8200","8200"
"123","16000","16000","16000","","","","14000","14000","14000","6700","6700","6700","6073","6073","6073","8029","8029","8029","","","","","",""
"124","16000","16000","16000","5500","5500","5500","14000","14000","14000","","","","","","","8029","8029","8029","6432","6432","6432","8200","8200","8200"
"125","16384","16384","16384","6000","6000","6000","14000","14000","14000","","","","","","","8654","8654","8654","","","","8717","8717","8717"
"126","16384","16384","16384","6000","6000","6000","14336","14336","14336","","","","","","","8654","8654","8654","6432","6432","6432","8717","8717","8717"
"127","16384","16384","16384","","","","14336","14336","14336","","","","","","","8654","8654","8654","","","","8717","8717","8717"
"128","16384","16384","16384","","","","14336","14336","14336","","","","","","","","","","","","","8717","8717","8717"
"129","17000","17000","17000","","","","14336","14336","14336","","","","","","","","","","","","","","",""
"130","17000","17000","17000","","","","15000","15000","15000","","","","","","","","","","","","","","",""
"131","17000","17000","17000","","","","15000","15000","15000","","","","","","","","","","6936","6936","6936","8717","8717","8717"
"132","17000","17000","17000","6000","6000","6000","15000","15000","15000","7000","7000","7000","","","","8970","8970","8970","","","","","",""
"133","17000","17000","17000","6000","6000","6000","15000","15000","15000","7000","7000","7000","","","","","","","","","","","",""
"134","17000","17000","17000","6000","6000","6000","15000","15000","15000","7000","7000","7000","","","","8970","8970","8970","","","","","",""
"135","17000","17000","17000","6000","6000","6000","15000","15000","15000","7000","7000","7000","","","","8970","8970","8970","","","","","",""
"136","17000","17000","17000","","","","15000","15000","15000","","","","6807","6807","6807","8970","8970","8970","","","","9000","9000","9000"
"137","17000","17000","17000","","","","15000","15000","15000","","","","","","","","","","","","","","",""
